更新,職缺,公司,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,連結
2024/01/17,【五股】QC品檢員,香港商邁世國際有限公司台灣分公司,"1. 進料/製程/成品檢驗及報表製作
2. 製程巡檢及品質管制
3. 產品品質異常處理及回報
4. 生產與檢驗儀器管理","品管／檢驗人員,品管／品保工程師","月薪28,000元以上",全職,新北市五股區,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1~3人,1年以上,高中、專科、大學,不拘,不拘,不拘,"原料及產品品質管制監控,新產品與進出貨檢驗","- 其他：1.會Office文書處理軟體操作
2.有基本量測工具使用經驗","- 福利制度：MGL Taiwan除了提供員工舒適的工作環境，亦提供以專業能力為基礎且具市場競爭力的薪資福利。
●保險福利：勞保、健保、勞退金、團體保險(涵蓋壽險、傷害險、醫療險、差旅險)、差旅保險、派駐保險
●訓練發展：新進同仁訓練、產品培訓、管理培訓、外訓課程補助，提供員工構築精彩職業生涯、邁向專業人才發展之路
公司於2023年1月1日遷至內湖區潭美街537號8樓
提供給同仁嶄新、舒服的工作環境
也於固定地點設有員工上下班接駁專車，便利同仁通勤
MGL由充滿活力的年輕專業團隊共同經營，同仁們在極具設計感的舒適辦公空間工作，夥伴間溝通順暢好相處，工作氛圍自由融洽，極適合擁有熱情、想要持續學習成長、挑戰自我、實現職涯的夥伴加入。
咖啡吧,國內旅遊,國外旅遊",https://www.104.com.tw/job/80ct2
2024/01/17,SAP System Analyst,香港商邁世國際有限公司台灣分公司,"Project Tasks during implementation
Work with external consultant as the bridge between internal users.
Analyze System Requirements and gaps.
Design and Implement SAP Programs
Provide Product Support and Training
Regular tasks
Take care assigned issues, trouble shooting and problem solving.
System configuration change, test and deploy to production for new requirements.
Work with technical consultant to review the spec of requirement and test the add-on apps.
Rollout plan and execution for new site.","系統工程師,軟體工程師,MIS程式設計師",待遇面議,全職,台北市內湖區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1人,5年以上,大學以上,"資訊工程相關,電機電子工程相關,資訊管理相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,SAP,"財務報表分析,結帳作業與帳務處理,會計核算和帳務處理,編製帳務報表",,"- 福利制度：MGL Taiwan除了提供員工舒適的工作環境，亦提供以專業能力為基礎且具市場競爭力的薪資福利。
●保險福利：勞保、健保、勞退金、團體保險(涵蓋壽險、傷害險、醫療險、差旅險)、差旅保險、派駐保險
●訓練發展：新進同仁訓練、產品培訓、管理培訓、外訓課程補助，提供員工構築精彩職業生涯、邁向專業人才發展之路
公司於2023年1月1日遷至內湖區潭美街537號8樓
提供給同仁嶄新、舒服的工作環境
也於固定地點設有員工上下班接駁專車，便利同仁通勤
MGL由充滿活力的年輕專業團隊共同經營，同仁們在極具設計感的舒適辦公空間工作，夥伴間溝通順暢好相處，工作氛圍自由融洽，極適合擁有熱情、想要持續學習成長、挑戰自我、實現職涯的夥伴加入。
咖啡吧,國內旅遊,國外旅遊",https://www.104.com.tw/job/7qktl
2024/01/17,技術服務工程師_Field Service Engineer-Industrial Assembly Solutions,阿特拉斯科普柯股份有限公司,"產品為注膠解決方案，包括粘接工藝和灌封解決方案，廣泛應用於各個行業。
1. 能獨立作業至客戶端進行工業裝配設備之訓練、維修、保養、故障排除及安裝。
2. 維護客戶關係，提供高水平的客戶服務，滿足客戶需求與期望。
3. 按時並正確地提供客戶服務報告。
4. 跟催系統問題, 必要時向上反映。
5. 維護系統工作性能，收集KPI數據並定期報告。
6. 回報保固索賠和品質問題。
7. 為客戶和業務人員提供技術支援。
8. 提供解決問題和根本原因分析報告。
9. 定期走訪生產線並提供報告。
10. 跟催並回覆客戶的投訴。
Products-dispensing and potting solutions
•	Work independently on system inspection, problem solving, system installation, customer training, component maintenance and other service activities
•	Maintain customer relationship
•	On time and correctly report service activities with time duration
•	System issue follow up and do escalation if necessary
•	Maintain system working performance, collect KPI data and report regularly
•	Response for warranty claim and quality problem report
•	Technical support for customers and sales
•	Response for problem solving and root cause analysis report
•	Regular walk the production line and provide walk line report
•	Follow up and feedback customer complaints","產品售後技術服務,機械裝配員,電機工程技術員",待遇面議,全職,新竹市,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:30~17:30,週休二日,一個月內,1人,2年以上,專科以上,"機械工程相關,電機電子工程相關,電機電子維護相關",英文--聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘,不拘,"- 其他：1.良好溝通技巧與人際互動關係。
2.以客戶為導向。
3.獨立作業能力。
4.注重團隊合作，能快速學習且有責任心。
5.具備當責的工作態度。
6.完成工作目標。
7.具備工業設備維修技術及現場服務經驗者尤佳。
8.熟悉機械和電力相關技術。","- 福利制度：1.薪酬:
◆ 正職人員保障年薪14個月
◆ 績效獎金、業務佣金與激勵獎金制度
2.福利
◆ 勞保、健保之員工自付額均由公司負擔
◆ 妥善的團保保險內容，受益對象包含員工、配偶及子女，均由公司負擔
◆ 中秋、端午、春節三節禮金及生日禮金等等，由福委會及公司分別發放
◆ 不定期員工國內外旅遊、各式聚餐及旅遊補助
◆ 婚、喪、喜、慶及生育補助
◆ 優於勞基法之休假制度，入職即享10天特休(到職第一年依在職比例計算)，給薪病假30天
(全薪5天，半薪25天)，聖誕節日假(12/25放假一日)
◆ 員工年資獎勵制度
◆ 提供免費飲品、水果、咖啡與茶包
◆ 不定期的下午茶
3.學習資源(Never Stop Learning)
◆ 國內、外線上/實體員工教育訓練
◆ 英語學習:EF Learning知名英文線上學習平台
◆ 視員工工作與學習需求，免費提供外部訓練課程，提升專業能力
◆ 員工與主管定期討論短、中、長期發展與學習規劃
4.多元發展
◆ 全球AtlasCopco集團，公開透明的內部職缺資訊，提供員工內部轉職
5.健康職場
◆ 每年實施年度健康檢查、每月護士臨場健康諮詢、每月健康專欄、健康講座、健康促進活動
◆ 活動舉辦:團隊活動、安全日活動、婦女節活動、尾牙、福委會舉辦多元活動與社團
6.交通
◆ 提供公司車輛給業務人員與現場服務工程師
年終獎金,社團補助,旅遊補助,國內旅遊,國外旅遊,可遠端/在家上班",https://www.104.com.tw/job/702kw
2024/01/17,機械或電氣維修技術員-中壢廠（新屋區）,美商_英屬蓋曼群島商金百利克拉克股份有限公司台灣分公司,"職務內容:
1.設備保養及維修
2.設備搶修、問題點確認及故障排除
3.接受上級交辦之各項任務
**福利制度**
-2個月年節獎金
-每年調薪
-三節禮券、生日禮券、旅遊金、婚喪喜慶補助
-福委會每季發放公司產品
-完善的培訓制度
-較優的年休假制度
-團體保險 (含壽險、意外險及醫療險; 涵蓋本人、配偶與子女)
-免費餐點、宿舍
-免費每年健康檢查
-制服、安全鞋等工作配備","機械裝配員,其他機械操作員,農業及工業用機器裝修工","月薪38,400元以上",全職,桃園市新屋區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1~2人,1年以上,高中、專科、大學,"機械維護相關,機械工程相關,電機電子維護相關",英文--聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘,不拘,"- 其他：1. 具一年以上設備保養及維修經驗
2. 具工具機操作,乙炔電焊,堆高機,固定式起重機操作證照等證照及專業知識者佳
3. 具備機械零組件識圖繪圖能力","- 福利制度：1.公司營運績效獎金
2.職工褔利委員會:生日禮物(金)、勞動節禮品、年節禮物、年度旅遊補助、不定期褔利活動...
3.彈性上下班時間(不含工廠)
4.資深員工表揚
5.退休制度
6.團保計畫
7.休假制度
8.工廠供應免費午餐
9.員工健康檢查
10. EAP員工協助方案",https://www.104.com.tw/job/2pem1
2024/01/17,【294848】醫藥業務專員/業務主任 (北區) Rare Disease- (Sr.) Medical Specialist/Sales Supervisor (North),台灣諾和諾德藥品股份有限公司,"1. Responsible for territory management, including listing, scientific communication and tender protection.
(全方位的區域管理者，包括進藥、產品學術溝通、及議價、保藥)
2. Keep closely relationship with KOL within responsible area according to segmentation and targeting, utilize selling skills to ensure customer needs are met in order to achieve sales target
(針對業績指標及客戶分級能有效的建立拜訪計劃，並且與重要客戶維持良好關係，同時運用有效銷售技巧溝通，來達到客戶需求並達成業績目標)
3. Identify new business opportunities and gain new expanded business.
(能洞察巿場契機並開發，創造新的業績機會)
4. Have willing to develop new accounts and new physicians/customers, as well as new source of businesses (meaning new patients, and new channels) and timely feedback market intelligence, request reports regularly.
(勇於開發潛力區域並且開創新業務機會點，同時可以定期回饋巿場訊息，並準時提供報表)
5. Execute marketing strategy, execute sales call plans, but also identify new prospects, and also validate these new prospects and align with manager to achieve sales target and goal.
(確切執行行銷策略及制定拜訪計劃，精確執行業務計劃，並且和業務主官共同擬定主要策略以強化銷售行為以完成公司目標)
6. Agility, accountability and resiliency to successfully manage task in a dynamic environment. willing to try out new paths, channels, get the learning, and evolve the plans and execution again.
(在變化快速的環境中，擁有靈活及當責的精神進而成功管理各項任務，具備高執行力且擁有高度熱忱去接受所有新的通路挑戰並勇於學習新事物)
7. Ensure all activities in territory are executed with professionalism and comply with NN compliance standard.
(自我管理佳，所有區域活動具高專業度並遵守諾和諾得商業行為規範)
8. Be a professional problem solver, innovative thinker and good business acumen..
(為專業問題解決者，具有創新思考及高度巿場敏銳度)
9. Can-do attitude, willing to explore new/underdeveloped territories, identify new opportunities, able to tackle uncertainties and adapt fast.
(勇於開拓新巿場及未知商機，極積尋求機會點，並能迅速適應未知環境所帶來的挑戰及衝擊)","國內業務,醫藥業務代表,其他醫療人員",待遇面議,全職,台北市大安區,不需負擔管理責任,無需出差外派,日班，09:00~18:00,依公司規定,一個月內,1人,3年以上,大學、碩士,"藥學相關,其他醫藥衛生相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"Excel,Outlook,PowerPoint,Word","業績目標達成,業務或通路開發,業績目標分配與績效達成,業績與管理報表撰寫,產品介紹及解說銷售","- 其他：•    Bachelor degree or above graduate with pharmacy or medical science related field. (學士以上學歷，藥學或醫藥科學相關科系)
•    Minimum 2 years' HP working experience in original company. (至少擁有2年HP相關經驗)
•    Experience in Rare Disease, Specialty care,Self-pay products area is a plus. (具有罕見疾病、特殊用藥、自費領域經驗者為優先)
•    Good skills in planning and interpersonal communication. (擁有規劃區域計劃及高效溝通力)
•    Good problem-solving and presentation skills. (具有良好的問題解決以及簡報能力)
•    Familiar with using office suite and protable devices. (熟悉Microsoft office軟件以及電腦平板)
•    Ambitious, determined and result-driven mindset on assignment. (具有堅毅, 成效導向及正向極積企圖的心態)
•    Logistical thinking and analytical capabilities, thrive in excellent performance. (高度邏輯思考力及分析能力, 激發高效業績表現)
•    Has own vehicle for business need. (自備汽車)","- 福利制度：We provide rewarding working climate, attractive salary, overseas training and fringe benefits including company outing, yearend party and cash gifts for festivals during a year.
我們提供正職同仁優渥的薪資福利制度及發展機會:
休假制度：
•	彈性工時政策(上下班時間、在家辦公...)
•	到職即享有年假
•	提供每年10日之全薪病假
•	提供14週全薪產假
•      非生育父母8週全薪陪產假
•	提供每年額外NN Day
薪酬福利：
•	每月月中即發放當月薪資
•	具市場競爭力之薪酬、三節禮金、績效獎金、業績獎金(業務同仁)
•	汽車津貼(有業務需求者)
•	子女教育津貼
•	除勞健保外，另提供含配偶及子女完善之團保制度
•	優於法令之退休金提撥
•	生日禮金、年節禮金、結婚、生育、喪葬津貼
•	社團活動經費補助
•	定期健康檢查
•	健康臨場諮詢服務
•	員工旅遊/獎勵旅遊(年度業績達成)
•	員工協助方案 EAP
•	臨場按摩服務
訓練發展：
•	完善教育訓練與職涯發展規劃
•	英文課程補助
三節獎金/禮品,咖啡吧,員工舒壓按摩,生活工作諮詢,不扣薪病假,社團補助,部門聚餐,社團活動,優於勞基法特休,可遠端/在家上班,不用補班",https://www.104.com.tw/job/86yp7
2024/01/17,Supply Chain Specialist,史丹利七和國際股份有限公司_美商,"Supply Chain Specialist-Taipei
Come Make the World With Us
It takes great people to achieve greatness. People with a sense of purpose and integrity. People with a relentless pursuit of excellence. People who care about making things better For Those Who Make The World™. Sound like you? Join our team of nearly 60,000 professionals globally who are making their mark on some of the world’s beloved brands, including DEWALT®, CRAFTSMAN®, CUB CADET®, STANLEY® and BLACK+DECKER®
The Job
As a Supply Chain specialist, you’ll be part of our Procurement Ops (GSMA SC) team located in Taipei. You’ll get to:
•	Place PO, follow up PO delivery, monitor the shipping process, logistics, vendors, transportation, invoice and customs events
•	Collaborate with sourcing team to provide the visibility of the shipment schedule, pending list.
•	Forecasting/ solving the difficulties & critical issues on product delivery with the suppliers
•	Negotiate/ communicate with all functions (sourcing, quality, suppliers, testing lab etc) for trade sales order (FOB Direct Sales)
•	MOQ & Lead Time reduction with vendors
•	Supplier visit may be required
•	Master update of material, item cost, etc.
•	Capacity Review VS Total Demand with Divisions
The Person
You love to learn and grow and be acknowledged for your valuable contributions. You’re not intimidated by innovation. Wouldn’t it be great if you could do your job and do a world of good?  In fact, you embrace it. You also have:
•	A University degree.  Major in Business Administration, Supply Chain Management, Logistics or International Trade is preferred.
•	5+ years’ experience in International Trade Industry
•	Knowledge and good at international trading operations.
•	Good communication skills, analytical skills with all levels of people worldwide.
•	Fluent English ability in speaking & writing to communicate with customers.
•	Good computer skills, e.g., MS Office.
•	Knowledge in ERP system. SAP is required.
And More
We want our company to be a place you’ll want to be – and stay. Being part of our team means you’ll get to:
•	Grow: Be part of our global company with 20+ brands to grow and develop your skills along multiple career paths.
•	Learn: Have access to a wealth of learning resources, including our Lean Academy, Coursera® and online university.
•	Belong: Experience an awesome place to work, where we have mutual respect and a great appreciation for diversity, equity and inclusion.
•	Give Back: Help us continue to make positive changes locally and globally through volunteerism, giving back and sustainable business practices.
All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran’s status or any other protected characteristic.","採購人員,國貿人員",待遇面議,全職,台北市士林區,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,5年以上,大學以上,不拘,英文--聽 /中等、說 /中等、讀 /精通、寫 /精通,SAP,"熟悉進出口業務,國際貿易基本概念,商品採購作業",,"- 福利制度： 週休二日(休假制度均符合勞基法)
保險制度：
1.勞/健保/勞退金
2.員工團保/職災保險
3.眷屬團保
員工福利(職工福利委員會)
1. 婚喪喜慶補助
2. 員工子女獎學金
3. 三節禮金及生日禮金
4. 福委會舉辦相關活動
5. 退休人員退職禮金
制度類
1.員工制服/個人安全防護具
2.公司提供午餐
3.完整的教育訓練
4.順暢的升遷管道
其他
1.員工專用停車場
2.年度健康檢查
設備類
1.員工餐廳
2.員工哺集乳室",https://www.104.com.tw/job/8714j
2024/01/17,市場拓展專員 Market Development Specialist -高雄,英屬維京群島商太古可口可樂(股)公司台灣分公司,"1. 積極開發區域內潛在新客戶，以達成當月市場開發目標。
2. 執行掃街拜訪，以發展及提升客戶關係。
3. 落實總部業務執行要求(Kicker)，並針對客戶需求提供協助。
4. 提供客戶最新的促銷方案及商品資訊，將銷售最大化。
5. 客訴處理。","國內業務,通路開發人員,儲備幹部","月薪30,000~44,000元",全職,高雄市新興區,不需負擔管理責任,無需出差外派,日班，08:00~17:00,依公司規定,不限,1人,3年以上,專科、大學,不拘,不拘,不拘,不拘,"- 其他：1. 業務相關經驗3~5年以上，且熟悉一般通路市場尤佳。
2. 工作態度必須主動積極且正面。
3. 具iPad及基本電腦Excel、Word、Power Point操作之能力。
4. 需具備汽機車駕照。","- 福利制度：== 優於法令的福利規劃，與時俱進 ==
【全方位保險】提供員工及眷屬團體保險，並由公司全額負擔保費
【 年度健檢】每年定期健康檢查，員工進階健檢
【 公司贈飲】每月一箱公司產品贈飲、三節及生日贈飲
【 福委補助】員工福利委員會補助 (婚喪喜慶及教育獎勵)及福委特約商店優惠
【 生活平衡】員工旅遊補助、年度春酒
【 休假福利】優於法令預給特休假、每年5天全薪病假
【 太古可口可樂專屬】上班期間公司飲品無限暢飲、可口可樂商店員工優惠、公司產品員購價
== 兼顧工作與生活，樂在工作 ==
【 EAP員工協助方案】提供24小時外部專業諮詢服務，守護同仁及眷屬身心健康
【 VIOCE員工建議箱】鼓勵員工署名或匿名表達心聲與提供建議，共同打造良好環境
【健康促進】健康促進講座、運動及各項保健宣導
【志工關懷】每位同仁一年8小時給薪志工假，志工服務彈性選擇
【多元共融】委員會定期舉辦訓練、講座及活動，促進性別、年齡、種族、身心障礙及性傾向多元共融
【安全先行】安全促進宣導及行動、員工安全提報建議，打造職場安全環境
【友善環境】孕婦專屬停車位、哺乳室、性別友善廁所
== 暢快學習，發展不設限 ==
【專業職能精進】專業職能課程，技術證照以及定期回訓補助、英文學習補助
【領導力培育】因應不同職級需求，量身打造國內外領導力培訓課程
【內部傳承學習】內部種子講師團隊年度徵選、培訓及回訓補助
【多元企業大學】 線上學習系統，豐富學習資源隨身帶著走
【SPRINT Program】新進人員到職90天學程，入職夥伴(Buddy)支持
== 鼓勵高績效文化，關注職涯發展與表揚 ==
【薪酬獎金】每年定期檢視薪資結構、依個人績效及公司年度運營成果發放年度獎金
【職能晉級路徑】供應鏈及設備服務技術職能晉級路徑與年度評核
【職涯機會無設限】鼓勵職務輪調，提供內部職缺申請、人才調遷補助與人才推薦獎勵
【BRAVO榮譽之星認可】 BRAVO榮譽之星員工認可計畫，並在員工大會定期公開表揚
– 福利制度依正職/契約/兼職身分 與 各年度公司營運狀況有所調整 –
員工紅利,年終獎金,三節獎金/禮品,專業證照獎金,員工餐廳,醫務室,不扣薪病假,結婚禮金,社團補助,旅遊補助,外語學習補助,國內旅遊,部門聚餐,員工優惠,員工停車位,特約商店",https://www.104.com.tw/job/87bw3
2024/01/17,【外商】業務營運經理 Sales Operation Manager,馬來西亞商白蘭氏三得利股份有限公司台灣分公司,"**管理及設定全國(北中南)各區域業務人員目標，並督導完成業績目標**
Commercial Deliverables
1. Monitor sales achievements relative to objectives and initiate programs/activities to ensure sales targets are achieved.
2. Monitor market trends and competitor activities in region.
3. Assess and prioritize potential business growth opportunities for target achievement.
4. Manage and develop sales force team. Serve as a positive role model by exhibiting ethical principles and behaviors, and insist others follow this lead.
5. Manage and optimize trade fund to optimize the display and visibility in the trade.
6. Identify and pursue opportunities for extending distribution and increasing sales through promotional activities with designated retailers/outlets.
7. Have a good and sound knowledge on the category marketing by channel and able to articulate the understanding into commercial strategy to drive performance.
Commercial Works/ Executions, Others
1. Track and analyze the effectiveness of promotional activities, trade spent/investment and results. Lead and review with Trade Marketing on key activities and suggestion of how to drive business growth.
2. Coordinate the execution of promotion and display set up between internal sales team and retailers.
3. Trade Visit on daily basis as a check and balance on sales force in trade execution.
4. Lead and conduct business review on monthly basis and quarterly with top management.
5. Work closely with Channel manager and sales force to ensure the efficiency of the active selling outlet, strike rates and other relevant components within the Route to Market.
6. Focusing on MUST SELL list to ensure the value per outlet (VPO) as per company direction.
7. Ensure proper analysis and follow up with the sales team on key deliverables and proper action plan to be suggested and key action plans to be executed.
Other business functions
1. Talent Development and ensure strong team morale and high performance culture being inculcated",國內業務主管,待遇面議,全職,台北市松山區,管理13人以上,無需出差外派,日班,依公司規定,不限,1人,8年以上,大學以上,不拘,不拘,不拘,"業績目標分配與績效達成,客戶情報蒐集,督導人員工作績效,培育人員職涯發展,業績目標達成,工作任務╱業績項目分配","- 其他：1. Good understanding of business environment and its dynamics
2. Possess strong leadership attributes
3. Strong interpersonal skills, good commercial acumen, resilient and have positive attitude
4. Good understanding of company directions and its business essentials and capabilities
5. Analytical","- 福利制度：(以下除法定項目外其它依職務稍異)
◆ 獎金 / 禮品類
1.年終獎金
2.三節禮金/禮品
3.績效獎金
4.業務獎金
5.開工紅包
◆ 保險類
1.勞基法法定相關保險
2.員工/眷屬團保
3.意外險
◆ 休閒類
1.員工旅遊補助
2.獎勵旅遊
◆ 制度類
1.伙食費
2.完整的教育訓練
3.順暢的升遷管道
◆ 請 / 休假制度
1.週休二日
2.特休預給制
3.全薪病假
4.全薪事假
5.法定給假
6.疫苗假
7.補班日不上班
◆ 其他
1.員工購物優惠
2.零食點心
◆ 補助類
1.結婚禮金
2.生育津貼、禮品
3.住院慰問金、慰問品
4.退職金提撥
5.語言學習補助
年終獎金,三節獎金/禮品,特殊節日獎金禮品,零食櫃,不扣薪病假,不扣薪事假,結婚禮金,生育津貼,社團補助,旅遊補助,住院慰問金,退職金提撥,員工優惠,特約商店,優於勞基法特休,員工團體保險",https://www.104.com.tw/job/87n71
2024/01/17,"菁英募集:現場服務工程師(空壓機設備維修)-中區(上班地點: 苗栗, 台中, 南投, 彰化, 雲林的客戶端現場)",阿特拉斯科普柯股份有限公司,"阿特拉斯科普柯正在募集像您一樣的菁英人才, 擔任現場服務工程師, 男女不拘。
工作內容:
1. 公司提供服務車輛。
2. 至客戶端進行空壓機、乾燥機等設備之維修，試俥，定期保養、故障排除。
3. 提供服務工作報告及建議改善事項。
4. 提供高水平的客戶服務。
5. 與售後服務部門的技術人員和業務人員合作。
6. 支援工程安全衛生之監督管理和溝通。
7. 具備機械/機電故障排除、變頻空壓機和電動馬達故障排除方面的知識。
8. 具備電腦使用知識和自學能力，能夠閱讀英文技術手冊並準備英文技術/服務報告。
9. 能夠團隊合作並且有獨立作業能力，以客戶需求為導向。
您可以期待的阿特拉斯科普柯:
1. 我們以人為本，關心員工們的的福祉和個人成長。
2.公司提供現場服務工程師服務車輛，可以自行保管。我們有完善的福利制度。
3. 公司提供適當的專業知識理論和實踐培訓，不僅限於技術學習，還包括其他工作技能線上學習平台。
4. 有機會在阿特拉斯科普柯集團內部輪調擔任不同職務並學習成長。
5. 多元與包容的企業文化。
Atlas Copco is a Swedish multinational industrial company that was founded in 1873. It manufactures industrial tools and equipment. The Atlas Copco Group is a global industrial group of companies headquartered in Nacka, Sweden. Do find out more from our website. www.atlascopco.com
We are looking for talent like you as our Field Service Engineer
1. Troubleshooting, Commissioning, Provide regular maintenance for client air compressor and vacuum equipment.
2. Write service reports of jobs carried out at customer site and provide recommendation/ advice for follow up actions if needed.
3. Provide a high level of customer service.
4. Cooperate with technical personnel and business personnel of the after-sales service department.
5. Support the supervision, management and communication of project safety and health.
6. With knowledge on Mechanical / Electromechanical troubleshooting skills, VSD and electrical motor troubleshoot.
7. Computer literate and a self-starter with the ability to read technical manuals and prepare technical/ service reports in English
8. Able to work as a team and independently, being customer-oriented
What you can expect from Atlas Copco
1. We are people oriented that take care of people well-being and personal growth.
2. We provide a company vehicle for your travelling to work site. We have great welfare support system in place .
3. Proper training will be provided in theory and practical, not limit to technical learning but with e-learning in soft skill.
4. Opportunity to move internally into different roles and to grow within Atlas Copco company Globally.
5. Diversity & Inclusion company culture.","電機工程技術員,電機設備裝配員,產品售後技術服務","月薪40,000~45,000元",全職,台中市西屯區,不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,一個月內,不限,3年以上,專科、大學,"機械工程相關,電機電子工程相關,電機電子維護相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,"- 其他：1.具汽車駕照。
2.具工業設備維修技術及現場服務經驗者。
3.熟悉機械和機電相關技術。
4.英文能力佳者優先考慮。","- 福利制度：1.薪酬:
◆ 正職人員保障年薪14個月
◆ 績效獎金、業務佣金與激勵獎金制度
2.福利
◆ 勞保、健保之員工自付額均由公司負擔
◆ 妥善的團保保險內容，受益對象包含員工、配偶及子女，均由公司負擔
◆ 中秋、端午、春節三節禮金及生日禮金等等，由福委會及公司分別發放
◆ 不定期員工國內外旅遊、各式聚餐及旅遊補助
◆ 婚、喪、喜、慶及生育補助
◆ 優於勞基法之休假制度，入職即享10天特休(到職第一年依在職比例計算)，給薪病假30天
(全薪5天，半薪25天)，聖誕節日假(12/25放假一日)
◆ 員工年資獎勵制度
◆ 提供免費飲品、水果、咖啡與茶包
◆ 不定期的下午茶
3.學習資源(Never Stop Learning)
◆ 國內、外線上/實體員工教育訓練
◆ 英語學習:EF Learning知名英文線上學習平台
◆ 視員工工作與學習需求，免費提供外部訓練課程，提升專業能力
◆ 員工與主管定期討論短、中、長期發展與學習規劃
4.多元發展
◆ 全球AtlasCopco集團，公開透明的內部職缺資訊，提供員工內部轉職
5.健康職場
◆ 每年實施年度健康檢查、每月護士臨場健康諮詢、每月健康專欄、健康講座、健康促進活動
◆ 活動舉辦:團隊活動、安全日活動、婦女節活動、尾牙、福委會舉辦多元活動與社團
6.交通
◆ 提供公司車輛給業務人員與現場服務工程師
年終獎金,社團補助,旅遊補助,國內旅遊,國外旅遊,可遠端/在家上班",https://www.104.com.tw/job/78g79
2024/01/17,[德商] Service Technician 機械/電機_維護工程師 (苗栗),ENERCON Taiwan Ltd._台灣艾納康有限公司,"[主要職責]
電機維護工程師負責台中、苗栗等地區，風力發電機的故障排除、電氣維修及機械維修保養工作。
[需求條件]
1. 有合格電機證照或相關產業經驗，例如：電機裝修、用電設備檢驗、飛機/船舶/汽機車電機、電力工程、空調工程、馬達控制、照明通訊系統等。
2. 有良好的工作安排能力，並能夠自我控管工作進度。
3. 高機動性，可配合在地區風場間移動及短期海內外出差。
4. 開朗易溝通和圑隊精神。
5. 具備台灣手排汽車駕照。
6. 能適應高處或狹隘空間。
[Responsibilities]
The service technician is responsible for the maintenance and repair of our wind energy plants at Taichung and Miaoli in Taiwan. He/she is responsible for a variety of electronic, electrical and/or mechanical equipment.
［Requirements］
1. Qualified as an electrician with electrical experience or qualifications and experience in electrical engineering troubleshooting, electrical equipment inspection, automobile vessel or vehicle electrical engineering, electrical power engineering, air condition engineering, motor control, lighting communication system etc.
2. High mobility (willingness to move and to travel) and flexibility.
3. Openness and team spirit.
4. Comfortable with heights and confined space.
5. Can accept flexible working times (willing to on weekends and holidays occasionally with overtime payment).
6. Self-steering and independent.","電機技師／工程師,機電技師／工程師",待遇面議,全職,苗栗縣後龍鎮,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班/假日班,依公司規定,不限,1~2人,不拘,專科、大學,"電機電子維護相關,電機電子工程相關",英文--聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘,"配電裝修維護,電源供應器維修,電機設備保養修護,電機設備操作,機電儀表工具使用,生產工作日誌建檔管理,配電裝修技能",- 其他：,"- 福利制度：～ 提供專業高品質之安全設備與電機工具
～ 優於勞基法的加班與休假制度
～ 國內外完整的員工訓練
～  職工福利委員會活動
～  端午及中秋節禮金
～ 不定期員工聚餐
～ 提供公務手機
～ Provide professional and high quality safety equipment and electrical tools.
～ Better overtime payment and vacation policy.
～ Comprehensive training sessions inland and aboard.
～ Welfare committee activities.
～ Company dinner.
～ Company mobile.
咖啡吧,結婚禮金,生育津貼,員工進修補助,部門聚餐,配發公務機,特約商店,優於勞基法特休,伙食津貼,員工團體保險",https://www.104.com.tw/job/87fbw
